id	possess
BS14-007	9
BS14-008	2
BS14-010	1
BS14-011	3
BS14-012	2
BS14-013	2
BS14-015	1
BS14-016	8
BS14-017	2
BS14-018	1
BS14-019	2
BS14-023	1
BS14-024	1
BS14-025	1
BS14-026	4
BS14-027	2
BS14-028	1
BS14-029	1
BS14-030	7
BS14-032	1
BS14-035	2
BS14-036	2
BS14-038	2
BS14-039	1
BS14-040	1
BS14-042	3
BS14-046	2
BS14-048	1
BS14-049	3
BS14-050	2
BS14-051	3
BS14-052	2
BS14-053	1
BS14-057	2
BS14-058	1
BS14-065	1
BS14-068	3
BS14-069	2
BS14-070	1
BS14-073	2
BS14-074	4
BS14-077	2
BS14-078	1
BS14-080	1
BS14-081	1
BS14-082	6
BS14-085	1
BS14-086	2
BS14-091	4
BS14-093	1
BS14-095	3
BS14-096	1
BS14-097	1
BS14-098	1
BS14-100	8
BS14-104	3
BS14-107	1
BS14-109	2
BS14-111	1
BS14-112	2
BS14-X01	3
BS14-X02	1
BS14-X04	1
BS15-001	1
BS15-002	1
BS15-004	1
BS15-006	1
BS15-009	1
BS15-011	1
BS15-015	1
BS15-017	1
BS15-020	2
BS15-021	1
BS15-023	1
BS15-029	1
BS15-037	1
BS15-039	2
BS15-040	1
BS15-041	1
BS15-042	1
BS15-043	2
BS15-044	1
BS15-053	1
BS15-054	2
BS15-055	1
BS15-056	1
BS15-065	1
BS15-068	3
BS15-073	1
BS15-074	3
BS15-075	3
BS15-076	2
BS15-077	1
BS15-078	2
BS15-080	3
BS15-082	2
BS15-083	1
BS15-X06	1
BS16-001	2
BS16-002	3
BS16-004	1
BS16-005	1
BS16-009	3
BS16-010	2
BS16-012	4
BS16-013	1
BS16-014	2
BS16-016	1
BS16-021	1
BS16-022	3
BS16-025	1
BS16-035	1
BS16-038	1
BS16-039	1
BS16-040	1
BS16-042	2
BS16-045	1
BS16-047	1
BS16-048	1
BS16-049	1
BS16-055	3
BS16-059	1
BS16-062	1
BS16-067	1
BS16-073	1
BS16-075	1
BS16-076	1
BS16-077	1
BS16-080	3
BS16-081	1
BS16-082	1
BS16-X01	2
BS16-X06	1
BS17-002	2
BS17-003	1
BS17-004	1
BS17-008	1
BS17-009	1
BS17-010	1
BS17-014	1
BS17-017	1
BS17-018	1
BS17-019	2
BS17-021	1
BS17-027	2
BS17-029	2
BS17-031	1
BS17-034	1
BS17-035	1
BS17-038	1
BS17-039	1
BS17-040	1
BS17-041	1
BS17-045	1
BS17-046	2
BS17-048	1
BS17-052	1
BS17-054	2
BS17-060	2
BS17-062	3
BS17-063	1
BS17-065	1
BS17-066	2
BS17-069	1
BS17-070	1
BS17-072	1
BS17-073	1
BS17-074	1
BS17-076	1
BS17-080	1
BS17-081	2
BS17-X01	1
BS17-X04	1
BS17-X05	3
BS17-X06	1
BS18-003	1
BS18-004	1
BS18-006	1
BS18-008	1
BS18-010	4
BS18-013	1
BS18-016	1
BS18-017	1
BS18-022	1
BS18-025	1
BS18-026	1
BS18-028	1
BS18-029	1
BS18-031	1
BS18-034	1
BS18-038	1
BS18-039	1
BS18-042	1
BS18-043	1
BS18-044	2
BS18-045	2
BS18-047	1
BS18-050	1
BS18-058	1
BS18-066	1
BS18-068	1
BS18-072	1
BS18-073	1
BS18-074	3
BS18-075	4
BS18-079	1
BS18-080	2
BS18-081	1
BS18-X01	1
BS18-X05	1
BS19-002	3
BS19-005	1
BS19-007	3
BS19-012	2
BS19-013	2
BS19-016	2
BS19-017	1
BS19-018	1
BS19-019	2
BS19-023	1
BS19-024	2
BS19-025	2
BS19-026	1
BS19-027	3
BS19-028	1
BS19-031	2
BS19-045	1
BS19-046	2
BS19-053	1
BS19-065	1
BS19-067	6
BS19-069	4
BS19-071	1
BS19-074	1
BS19-075	1
BS19-079	1
BS19-080	1
BS19-081	1
BS19-083	1
BS19-084	2
BS19-085	1
BS19-088	8
BS19-089	1
BS19-090	2
BS19-094	1
BS19-097	1
BS19-099	3
BS19-100	4
BS19-102	1
BS19-103	3
BS19-104	3
BS19-X01	1
BS19-X05	1
BS19-X07	2
BS19-X08	2
BS20-002	1
BS20-005	4
BS20-006	1
BS20-010	1
BS20-011	1
BS20-015	2
BS20-017	1
BS20-018	1
BS20-019	2
BS20-020	1
BS20-021	1
BS20-026	2
BS20-028	1
BS20-030	1
BS20-037	3
BS20-038	1
BS20-039	1
BS20-042	1
BS20-043	2
BS20-044	2
BS20-048	1
BS20-052	1
BS20-053	1
BS20-055	5
BS20-057	1
BS20-058	2
BS20-061	1
BS20-063	2
BS20-067	2
BS20-068	1
BS20-069	2
BS20-070	1
BS20-073	1
BS20-074	2
BS20-076	1
BS20-077	4
BS20-078	1
BS20-079	3
BS20-082	2
BS20-084	1
BS20-X04	1
BS20-X05	1
BS20-X07	2
BS20-X08	3
BS21-002	1
BS21-005	3
BS21-011	2
BS21-013	2
BS21-015	1
BS21-017	1
BS21-019	1
BS21-020	3
BS21-022	3
BS21-023	2
BS21-024	1
BS21-026	2
BS21-030	1
BS21-032	2
BS21-033	2
BS21-037	1
BS21-038	1
BS21-039	2
BS21-041	2
BS21-045	1
BS21-046	1
BS21-053	1
BS21-056	1
BS21-059	4
BS21-060	1
BS21-061	3
BS21-062	2
BS21-063	2
BS21-064	2
BS21-065	3
BS21-067	1
BS21-074	1
BS21-076	2
BS21-077	2
BS21-079	1
BS21-081	2
BS21-082	2
BS21-X04	1
BS21-X07	2
BS21-X08	1
BS22-001	2
BS22-003	3
BS22-004	1
BS22-008	1
BS22-010	3
BS22-011	2
BS22-013	1
BS22-015	1
BS22-019	4
BS22-020	2
BS22-028	1
BS22-030	1
BS22-031	4
BS22-032	1
